age,annual_income,country,device_type,traffic_source,campaign_type,pages_visited,session_duration,email_opens,email_clicks,previous_purchases,days_since_last_visit,discount_offered,ad_spend,converted
54,97380.0,USA,Desktop,Instagram,Discount,6,207.0,0,0,1,24.0,10,5.35,0
29,98272.0,USA,Desktop,Email,Discount,7,480.0,2,1,1,24.0,0,11.57,0
59,69856.0,USA,Mobile,Instagram,Newsletter,4,113.0,6,4,0,0.0,5,8.03,0
34,28250.0,USA,Mobile,TikTok,Retargeting,6,403.0,2,0,0,126.0,5,6.75,0
28,70258.0,USA,Desktop,TikTok,Brand Awareness,5,498.0,2,0,0,5.0,25,8.09,0
59,84292.0,USA,Mobile,Referral,Newsletter,7,346.0,4,0,1,9.0,0,22.91,1
51,126872.0,Canada,Mobile,Facebook,Brand Awareness,8,545.0,1,0,2,0.0,0,12.81,1
53,105896.0,UK,Mobile,Instagram,Retargeting,7,156.0,2,1,2,0.0,15,23.8,1
69,98645.0,USA,Desktop,Google,Discount,4,351.0,0,0,1,0.0,10,43.83,0
38,83591.0,Canada,Mobile,TikTok,Discount,4,210.0,2,1,3,0.0,0,6.33,0
61,97989.0,USA,Desktop,Google,Discount,1,83.0,1,0,2,26.0,10,10.05,0
35,58762.0,USA,Desktop,TikTok,Brand Awareness,3,266.0,3,1,1,0.0,5,13.94,1
47,59268.0,USA,Mobile,TikTok,Retargeting,9,619.0,2,1,0,34.0,10,10.2,0
49,48300.0,Australia,Desktop,Google,Newsletter,4,281.0,3,0,1,4.0,15,6.03,1
29,51880.0,USA,Mobile,Email,Discount,3,10.0,3,2,1,7.0,20,10.03,1
27,73681.0,UK,Desktop,Instagram,Discount,3,140.0,2,1,0,21.0,15,4.57,0
29,121230.0,USA,Mobile,TikTok,Brand Awareness,5,319.0,0,0,0,24.0,25,12.45,0
52,46010.0,USA,Mobile,Email,Newsletter,5,212.0,3,1,1,9.0,15,5.87,1
49,83180.0,Canada,Desktop,Email,Discount,10,531.0,1,0,0,81.0,20,33.15,0
66,77508.0,USA,Mobile,Google,Product Launch,5,211.0,2,0,1,14.0,20,20.81,0
54,35727.0,UK,Mobile,Email,Product Launch,6,10.0,5,2,0,3.0,5,5.4,0
30,72913.0,UK,Mobile,Google,Retargeting,11,435.0,4,2,0,0.0,0,10.93,1
65,29062.0,UK,Mobile,Google,Discount,3,139.0,2,0,1,-0.0,0,25.39,0
67,100713.0,USA,Desktop,Email,Discount,8,325.0,2,1,2,49.0,20,7.15,0
56,94869.0,USA,Mobile,Email,Brand Awareness,9,368.0,4,1,1,6.0,15,25.44,0
52,58725.0,USA,Desktop,Google,Discount,9,764.0,4,2,0,10.0,0,8.43,1
24,66578.0,USA,Mobile,Referral,Discount,9,476.0,4,2,0,3.0,20,7.74,1
22,63857.0,USA,Mobile,Referral,Discount,6,319.0,1,0,0,13.0,20,10.34,1
31,60444.0,Australia,Mobile,Google,Discount,6,95.0,2,0,0,17.0,20,22.29,0
40,91586.0,USA,Mobile,Instagram,Retargeting,8,369.0,4,3,0,4.0,15,7.23,1
21,49994.0,USA,Mobile,Instagram,Retargeting,4,124.0,4,0,1,13.0,5,1.78,1
64,66981.0,USA,Mobile,Referral,Discount,6,422.0,1,0,1,16.0,0,15.51,0
42,48262.0,USA,Tablet,Google,Brand Awareness,2,26.0,0,0,1,25.0,10,15.75,0
54,100188.0,UK,Desktop,Facebook,Product Launch,4,125.0,2,2,1,57.0,0,2.89,0
29,77884.0,USA,Mobile,Facebook,Retargeting,4,108.0,3,1,1,33.0,0,2.76,1
34,98083.0,USA,Desktop,Google,Product Launch,6,376.0,2,0,0,38.0,0,4.98,0
24,56176.0,USA,Mobile,TikTok,Brand Awareness,8,465.0,2,2,1,9.0,0,7.08,1
56,25000.0,USA,Mobile,Email,Discount,6,310.0,3,2,2,42.0,20,16.79,1
58,87009.0,USA,Desktop,Email,Newsletter,9,259.0,4,1,0,4.0,10,12.55,0
29,81914.0,Canada,Desktop,Facebook,Newsletter,3,259.0,5,2,0,1.0,0,16.93,1
